2019-06-24 14:26:42 startup archives unpack
2019-06-24 14:26:44 install linux-headers-4.4.0-131:all <none> 4.4.0-131.157
2019-06-24 14:26:44 status half-installed linux-headers-4.4.0-131:all 4.4.0-131.157
2019-06-24 14:27:32 status unpacked linux-headers-4.4.0-131:all 4.4.0-131.157
2019-06-24 14:27:32 status unpacked linux-headers-4.4.0-131:all 4.4.0-131.157
2019-06-24 14:27:32 install linux-headers-4.4.0-131-generic:amd64 <none> 4.4.0-131.157
2019-06-24 14:27:32 status half-installed linux-headers-4.4.0-131-generic:amd64 4.4.0-131.157
2019-06-24 14:27:48 status unpacked linux-headers-4.4.0-131-generic:amd64 4.4.0-131.157
2019-06-24 14:27:48 status unpacked linux-headers-4.4.0-131-generic:amd64 4.4.0-131.157
2019-06-24 14:27:48 startup packages configure
2019-06-24 14:27:48 configure linux-headers-4.4.0-131:all 4.4.0-131.157 <none>
2019-06-24 14:27:48 status unpacked linux-headers-4.4.0-131:all 4.4.0-131.157
2019-06-24 14:27:48 status half-configured linux-headers-4.4.0-131:all 4.4.0-131.157
2019-06-24 14:27:48 status installed linux-headers-4.4.0-131:all 4.4.0-131.157
2019-06-24 14:27:48 configure linux-headers-4.4.0-131-generic:amd64 4.4.0-131.157 <none>
2019-06-24 14:27:48 status unpacked linux-headers-4.4.0-131-generic:amd64 4.4.0-131.157
2019-06-24 14:27:48 status half-configured linux-headers-4.4.0-131-generic:amd64 4.4.0-131.157
2019-06-24 14:27:49 status installed linux-headers-4.4.0-131-generic:amd64 4.4.0-131.157
2019-06-24 14:27:49 startup packages configure
2019-06-24 15:35:40 startup archives unpack
2019-06-24 15:35:43 upgrade base-files:amd64 9.4ubuntu4.7 9.4ubuntu4.8
2019-06-24 15:35:44 status half-configured base-files:amd64 9.4ubuntu4.7
2019-06-24 15:35:44 status unpacked base-files:amd64 9.4ubuntu4.7
2019-06-24 15:35:44 status half-installed base-files:amd64 9.4ubuntu4.7
2019-06-24 15:35:44 status triggers-pending plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.5
2019-06-24 15:35:44 status triggers-pending man-db:amd64 2.7.5-1
2019-06-24 15:35:44 status triggers-pending install-info:amd64 6.1.0.dfsg.1-5
2019-06-24 15:35:44 status half-installed base-files:amd64 9.4ubuntu4.7
2019-06-24 15:35:44 status unpacked base-files:amd64 9.4ubuntu4.8
2019-06-24 15:35:44 status unpacked base-files:amd64 9.4ubuntu4.8
2019-06-24 15:35:44 trigproc plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.5 <none>
2019-06-24 15:35:44 status half-configured plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.5
2019-06-24 15:35:45 status installed plymouth-theme-ubuntu-text:amd64 0.9.2-3ubuntu13.5
2019-06-24 15:35:45 status triggers-pending initramfs-tools:all 0.122ubuntu8.13
2019-06-24 15:35:45 trigproc man-db:amd64 2.7.5-1 <none>
2019-06-24 15:35:45 status half-configured man-db:amd64 2.7.5-1
2019-06-24 15:36:13 status installed man-db:amd64 2.7.5-1
2019-06-24 15:36:13 trigproc install-info:amd64 6.1.0.dfsg.1-5 <none>
2019-06-24 15:36:13 status half-configured install-info:amd64 6.1.0.dfsg.1-5
